Title,PlotSummary
The Riddle,"A woman is murdered following her discovery of an unpublished Charles Dickens manuscript. The three are Mike (Jones), an ambitious sports tabloid journalist, Kate (Cox), a police officer, and an eccentric old beach-combing tramp (Jacobi) Together they must track down the mystery and solve the riddle of the manuscript."
Escape Me Never,"The story takes place in Venice at the turn of the 20th century. A young composer by the name of Caryl Dubrok has a love affair with a wealthy English heiress, Fenella MacLean, until her parents by mistake start believing that Caryl is living with young widow Gemma Smith and her infant baby. It turns out that Gemma is really living with Caryls big brother Sebastian, who showed pity of the young lonely mother and let her stay with him. Sebastian is unaware that it is Fenella he has met in the street, and starts pursuing her."
Second Chorus,"Danny O'Neill (Fred Astaire), and Hank Taylor (Burgess Meredith) are friends and rival trumpeters with ""O'Neill's Perennials,"" a college band. Artie Shaw, playing himself, comes to woo Ellen away to be his booking manager. She tries to get Danny and Hank an audition for Shaw's band, but their jealous hi-jinks get them fired. Ellen talks Shaw into letting rich wannabee musician J. Lester Chisholm back a concert."
First Offenders,District Attorney resigns from his position in order to open establish a farm that gives juvenile delinquents and first-offenders a place to straighten out their lives before they reach the point of no return. He meets much resistance from various segments of the law and the citizens.
Kodama Simham,Bharath (Chiranjeevi) is a rough and tough cowboy with a heart of gold. His parents are fatally attacked by the villains when he spoils their gambling and prostitution operations. His dying father tells him that he was adopted and told him to look in another city for his real parents.
Mexican Hayride,"Joe Bascomb (Lou Costello) chases con man Harry Lambert (Bud Abbott) to Mexico City, after Harry apparently swindled him (and some friends) in an oil stock scam back in the United States. Joe is persuaded to participate in Harry's, Dagmar's (Luba Malina) and Mary's plan to sell fake silver mine stock. While giving tours of the bogus mine, Joe extols its beauty and sells stock to anyone he can. Eventually the authorities track down and incarcerate Joe, along with Harry, but Joe manages to escape."
Government Girl,"Automobile engineer Ed Browne (Sonny Tufts) comes to Washington to appear in front of the War Construction Board. His mission is to supervise the building of bomber aircraft for the war. Ed is unaware that the same room is reserved by Elizabeth ""Smokey"" Allard (Olivia de Havilland), for her friend May (Anne Shirley) who is getting married to an army sergeant, Joe Bates, that very night. The groom has lost his ring, and Smokey borrows one from Ed, which leads him to believe that Smokey is the woman getting married. Smokey learns that she"
Murder 3,"The film opens with Vikram (Randeep Hooda, a hot-shot fashion and wildlife photographer, viewing a video of his girlfriend, Roshni (Aditi Rao Hydari) telling him she is leaving him. Vikram becomes a suspect in the disappearance of his girlfriend Roshni. Nisha (Sara Loren) finds the key to the secret room, but she doesn't know what it is used for."
They Won't Forget,"A southern town is rocked by scandal when teenager Mary Clay is murdered on Confederate Memorial Day. A district attorney with political ambitions sees the crime as way to the Senate if he can find the right scapegoat to be tried for the crime. Robert Hale, Mary's teacher at the business school where she was killed, is convicted and sentenced to death. The issue moves from innocence or guilt to the continuing bigotry and suspicion between South and North."
Pichaikkaran,"Arul Selvakumar (Vijay Antony) is a rich businessman based out of Palladam, Tirupur district. His mother Bhuvaneshwari (Dheepa Ramanujam) is the person behind the growth of their textile business following her husband’s early death. Arul meets a Swamiji who suggests that Arul should lead a life of a beggar for 48 days and this would help his mother to recover. He meets Magizhini (Satna Titus) and develops affection seeing her good nature."
Chidambarathil Oru Appasamy,"Elangovan (Thankar Bachchan) is a school teacher in Chidambaram who is a jack of all trades but master of none. He spends time with friends boozing, gambling and trying out new business that always fails. Fearing his wife and relatives he decides to join a mutt but there also he is unable to sustain."
The Quiet Man,"In the 1920s, Sean Thornton travels to Ireland to reclaim his family's farm and his birthplace in Inisfree. He meets and falls in love with the fiery Mary Kate Danaher, the sister of the bullying, loud-mouthed landowner Squire ""Red"" Will Danaher (Victor McLaglen) Danaher is angry that the Widow Tillane (Mildred Natwick) accepts Sean's bid, and retaliates by refusing consent for his sister to marry him. After learning the truth on Sean and Mary Kate's wedding day, an enraged Will refuses to give his sister her dowry."
Daring Danger,"Tim Madigan (Tim McCoy) is a cowboy coming to the aid of Gerry Norris (Alberta Vaughn), whose father (Murdock MacQuarrie) is in trouble with a gang of cattle rustlers. The leaders of the rustlers prove to be the very same villains Madigan was trailing."
Night of Fear,A young woman crashes her car on a lonely country road and is terrorised by a crazed hermit. Hermit terrorises the young woman and terrorises her with her car. The film is based on the story of a young woman being chased by a crazy hermit in the country.
Homicide,"Bobby Gold is a homicide detective on the trail of Robert Randolph, a drug-dealer and cop-killer on the FBI's Ten Most Wanted List. The elderly Jewish owner of a candy store in a ghetto has been gunned down, reportedly for a fortune hidden in her basement. Gold is thrust into a series of circumstances that test his loyalty to the badge, but also his newfound Jewish consciousness."
Adhurs,The story is about two twin brothers who get separated at birth. They were separated by an old woman whose daughter-in-law gave birth to a dead child for the third time. Narasimha (NTR Jr.) gets raised by a single mother (Vinaya Prasad) and he becomes an undercover agent to a top cop(Sayaji Shinde)
Kanave Kalaiyadhe,Anand (Murali) and Amrita (Simran) are lovers. Anand is a Tamilian who is unable to bear separation from Amriti and her family. Shear (Sharada) is Sharada's look-alike and Anand falls in love with her.
Millionaire's Express,"Ching Fong-Tin (Sammo Hung) goes to Russia to steal goods from the Russian soldiers. He is made to wear a brassiere and the head of a mop as a wig. Bandits dressed in police uniforms set fire to a large building. While the fire rages, the bandits rob the town bank, but the manager manages to alert the townfolk before they can escape and two of the bandits are jailed. As the train travels through the country, passenger Han sneaks back and forth on roof of the train between his fat wife and his beautiful mistress."
Vaanga Partner Vaanga,"Ponnappan (Radha Ravi) and Azhagappan are three naive villagers who come to Chennai for becoming wealthy. They decide to join hands and they begin to look for an intelligent, bachelor and good partner. They then sign a contract with the lord (statue) in five years time, Ganapathi will have the quarter of their benefit. Five years later, Ponnapan, Uzhagappans become wealthy and arrogant men. One day, the Gurukkal asks them to build a temple but they refuse it."
Lost and Delirious,"Mary is a new student at the all girls' boarding school, and dorms with Paulie and Victoria. Mary observes the intimacy between her two dormmates. Mary sees them kissing on a roof. Paulie degenerates into psychotic abusive behavior, like destroying a mirror and thrashing a dish cart to the floor."
 Blinky Bill the Movie,"A courageous young koala called Blinky Bill tells a story about his father, Bill Koala, while embarking on a journey across the wild and dangerous Australian outback. Blinky’s dad had created their home Green Patch, where every animal could feel safe and live in peace. Throughout his adventure he befriends a girl koala named Nutsy, a lizard named Jacko and a few other creatures."
Ghost Ship,"In 1962, aboard the Italian ocean liner SS Antonia Graza, dozens of wealthy passengers dance to the song ""Senza Fine"" sung by Francesca, an Italian lounge singer. Forty years later, at a bar, a boat salvage crew — Captain Sean Murphy, Maureen Epps, Greer, Dodge, Munder, and Santos — celebrate their recent success. As they prepare to tow it, they discover it contains a large quantity of gold. After a series of supernatural events, the group decides to abandon the salvage effort but take the gold, but an invisible force sabotages the Arctic Warrior. The group"
Dark Delusion,"Dr. Tommy Coalt is asked to sign mental-health commitment papers on a beautiful socialite, Cynthia Grace. Coalt thinks there is something amiss, and begins his own investigation. The film is set in the small town of Bayhurst, a small town in post-World War II Europe."
Nazrana,"Raj (Raj Kapoor) and Vasanti (Vyjayanthimala) are college mates who clash when she complains to the college principal about a love letter he sent her. The two fall in love when Raj falls ill and in nursing him, Geeta falls in love with him. Raj initially neglects Geeta and the two have a son. Geeta dies in guilt leaving Raj alone to bring up their child."
My Big Father,"The film is based on a recommendation letter from a teashop owner played by Innocent. By the time the credits end, the business has turned around and the infant has grown up. The boy grows up to be a strapping young man Alby, dancing on the beaches of Goa with his father."
Set It Off,"Francesca ""Frankie"" Sutton is a Los Angeles bank teller who witnesses a robbery. She is fired after the police uncover a connection between her and one of the three robbers. The four women embark on a series of bank robberies, which are investigated by LAPD detective Strode."
The Sagebrush Troubadour,Texas Rangers Gene Autry (Gene Autry) and Frog Millhouse (Smiley Burnette) are traveling undercover as western troubadours in search of the killer of Frank Martin. Their only clues are a guitar string (the murder weapon) and Martin's horse Swayback that hold the key to finding the dead man's lost goldmine. Gene and Frog escape a trap set for them at the dance and save Joan when she is nearly strangled by another guitar string.
The Proud and Profane,"The widow of a Paramarine lieutenant killed on the Battle of Bloody Ridge on Guadalcanal has joined the American Red Cross on the island to entertain American servicemen. A Marine Raider battalion comes to New Caledonia after fighting in the South Pacific. Lieutenant Colonel Black (William Holden) objects to the Red Cross women treating his men softly; he states that the only place for women in war are ""skirts"" that the men chase and the ""sweethearts"" that wait for them back home."
Two on a Guillotine,"John Harley Duquesne is a psychotic magician who accidentally beheads his wife Melinda with a guillotine during a performance. Twenty years later he dies, his will requires his daughter Cassie (the mirror image of her mother) to spend seven nights in his apparently haunted mansion in order to inherit his estate."
Indiana Jones and the Kingdom of the Crystal Skull,"Indiana Jones and his partner George ""Mac"" McHale are kidnapped by Soviet agents in 1957. They force Jones to locate a mummified corpse recovered from a crash site. After a fight with Spalko's sadistic henchman, Jones escapes to a model town at the Nevada Test Site minutes before atomic bomb test. Jones is rescued, decontaminated, and apprehended by FBI agents, who suspect him of working for the Soviets."
Springtime for Henry,"Henry Dewlip is the heir to his late father's prosperous automobile plant. He lets underlings run things while he indulges in wine, women and song. Julia Jelliwell is the latest woman to have the key to his apartment. Also the strait-laced Miss Smith, his latest secretary who secretly harbours a crush on him."
Barfly,"Henry Chinaski (Mickey Rourke) is a destitute alcoholic who lives in a rundown apartment and works menial jobs when he can find them. At night, he drinks, hangs out with other down and out alcoholics, and eventually gets into altercations with the tough guy bartender he hates. In the meantime, Henry is tracked down by a wealthy female book publisher, Tully Sorenson, who has been impressed with his writing and is interested in publishing some of his work. The film ends with Henry buying all of his ""friends"" at the bar."
CID Shankar,"C. I. D. Shankar and his assistant Raju is deputed to the Nilgiris to investigate a case of mysterious murder. The film had in its title sequence in which a politician is killed by a suicide bomber who explodes her explosive belt. Shankar discovers to the murder are being, committed by a terrorist gang, who are embarking on a secret movement."
A Clockwork Orange,"Alex DeLarge is the leader of a gang of ""droogs"", Georgie, Dim and Pete. He rapes his wife while singing ""Singin' in the Rain"" He is sentenced to 14 years in prison for being a test subject to an experimental aversion therapy. Two years into the sentence, Alex is forced to watch films of sex and violence with his eyes forced open. He is unable to withstand the sickening pain and attempts suicide by throwing himself out the window."
Assassination Classroom: Graduation,"Class 3-E of Kunugigaoka High School has not been able to assassinate their teacher, Koro-sensei, who will blow up the Earth on graduation day. Neither the students nor the government-sponsored assassin Red Eye are ultimately able to do the task. Nagisa Shiota decides to find an alternative besides killing Koro Sensei after hearing the story."
8 Thottakkal,"The film stars an orphaned boy, Sathya, getting framed by the employer for the murder of his wife and is sent to juvenile. Unlike the other policemen at his station, he refuses to be involved in bribes and is made an outcast. One day he helps a writer who is beaten by his corrupt inspector, Gunasekaran. The inspector arranges for Sathiya to shadow a dangerous gangster. While shadowing the gangster, he loses his gun fully loaded with 8 bullets or face disciplinary action. He nabs the boy who pickpocketed his gun but the boy has sold the gun."
Cabin in the Sky,"Little Joe, a man killed over gambling debts, is restored to life by angelic powers. He is given six months to redeem his soul and become worthy of entering Heaven. Little Joe abandons his wife for Georgia Brown, and the two embark on a life of hedonistic pleasure."
Rings,"Julia sees her boyfriend Holt off to college but grows concerned when he falls out of contact. She is inspired to find him when a panicked girl, Skye, contacts her, asking for his whereabouts. She locks herself in the bathroom as Samara kills Skye. The group film themselves watching the video before passing the footage to another person, called a ""tail"""
Boxing Helena,"Nick Cavanaugh is a lonely Atlanta surgeon obsessed with Helena. After she suffers a high grade tibial fracture in a hit-and-run motor vehicle accident, he kidnaps and treats her in his house surreptitiously. He amputates her arms above the elbow after she tries to choke him."
Jade Goddess of Mercy,"Yang Rui is a handsome Beijing executive who is bored with his easy life and numerous female conquests. He hears about a woman named He Yanhong who is from out of town, beautiful but mysterious and reclusive. When she kicks him in the head after coming on too strongly, she shows some regret and compassion, nursing him back to health and they develop a friendship. Unfortunately, Yang's scorned female boss becomes jealous, reveals she has been spying on the young couple, reveals that she has a child, and then frames him for accepting an illegal kickback."
The World of Henry Orient,"In early 1960s New York City, concert pianist Henry Orient (Peter Sellers) pursues an affair with a married woman. Two adolescent private-school girls, Valerie ""Val"" Boyd (Tippy Walker) and Marian ""Gil"" Gilbert (Merrie Spaeth) stalk him and write their fantasies about him in a diary. In reality, Val, the bright and imaginative daughter of wealthy international trade expert Frank Boyd (Tom Bosley) and his unfaithful, snobbish wife Isabel (Angela Lansbury) has developed a teenage crush on Henry."
CBGB,"In 1970s New York City, Hilly Kristal is divorced and has filed bankruptcy for the second time. With his business partner Merv Ferguson, Kristal convinces his mother to loan them the money needed to establish the dive bar CBGB. CBGB soon becomes a rock venue that caters to the burgeoning punk movement. Kristal's daughter, Lisa, attempts to take over the chaotic finances in an attempt to save the business. The epilogue reveals that CBGB remained opened until 2006."
Nuns on the Run,"London gangsters Brian Hope (Idle) and Charlie McManus (Coltrane) desire to lead more peaceful lives in Brazil. While planning to rob a local Triad gang of their ill-gotten drug money, Brian meets and falls in love with a waitress, Faith. During the robbery, Brian and Charlie betray their crew, steal the money and flee, but are forced to abandon their car when it runs out of petrol and seek refuge in a nearby nunnery during the ensuing gunfight. Faith, who had tried to warn Brian beforehand, is shot in the wrist, while one of the triads is shot"
Muni,Muniyaandi (Rajkiran) was a kind-hearted poor man living in the slums with his daughter and other people. Muni's friend is Marakka Dhandapaani MLA (Kadhal Dhandapani) who uses Muni to make him win in elections and promises to give lands to the poor villagers. Dhandapani wins the election but he cheats Muni and kills both him and his daughter.
Kick 2,"Robin Hood (Ravi Teja) is Kalyan Krishna's son and despite his father saying, Robin looks for ""comfort"" more than Kick. Robin became a doctor so that if he gets injured, he can treat himself immediately. Robin is persuaded by a writer, Chaitra (Rakul Preet Singh), who wants to write his story, to stay in love with him. Villagers in Bihar expect Robin to arrive soon to save them from an evil man, Solomon Singh Thakur. Robin finally realizes the value of his father's ""kick"""
Arpeggio of Blue Steel,"Due to global warming and rising sea levels in the early 21st century, much of Earth's landmass has been lost. In 2039, fleets of powerful sentient warships, armed with advanced technology and possibly 'alien' weaponry, mysteriously appear and devastate the world's naval forces. The Fleet of Fog impose a worldwide naval and aerial blockade, preventing humanity from traveling the oceans and to other nations. Gunzō Chihaya, a former student of the Japanese National Marine Academy, is the captain of a small group of privateers called the 'Blue Steel' The Blue Steel are infamous for possessing a Fog submarine, the"
V. I. P ,"Guru (Prabhu Deva) is a graduate but cannot find a job because employers are looking experience. Anupam Kher is a rich businessman but his business is about to topple when he invites his nephew Santhosh (Abbas) from the US to save it from loss. Priya (Simran) is his daughter and she expects to marry him. Meanwhile Guru steals a car from a businessman who refused to employ him and when the goondas chase, he and Indhu enter into the airport."
Mikey and Nicky,"Nicky (John Cassavetes) calls Mikey (Peter Falk) yet again to bail him out of trouble. Mikey gets Nicky out of the hotel where he has holed up, and starts to help him plan his escape. The two friends have to confront issues of betrayal, regret, and the value of friendship versus self-preservation."
The Honeymoon Machine,"Jason Eldridge (Hutton) runs Magnetic Analyzer Computing Synchrotron (MACS), a vacuum-tube computer aboard the USS Elmira. Eldridge, Lt. Ferguson Howard (McQueen) and LTJG Beauregard Gilliam (Mullaney) check into a Venice casino's hotel dressed as civilians with Eldridge. The gambling system is very effective, and the three men accumulate hundreds of thousands of dollars in casino chips. However, Admiral Fitch sees and investigates their signals; soon the Navy, the American and Soviet consulates, and Venice city authorities are on alert for a ""revolution"
Thalaimagan,The story is set around the bulwark of honest and public good institution of everest. It is helmed by the fearless Ayya (Vijayakumar) It has among its ranks an intrepid scribe Dheeran (Sarath Kumar)
Cross-Country Romance,"Diane North stows away in the trailer of a bacteriologist Dr. Lawrence ""Larry"" Smith to escape from her own wedding. Diane tells him she is poverty-stricken Maggie ""Jonesy"" Jones, making her way to a slightly less poor uncle. Larry tries to get rid of his passenger at every opportunity, but she falls in love."
Walking with the Enemy,"Walking with the Enemy was inspired by true events in Hungary. The film stars two young men who work for a Jewish radio repair shop in Budapest. They save thousands of Jewish families by redirecting them to safe houses. The movie leaps ahead thirteen years, to 1957, when Elek has emigrated to New York City."
Asuravithu (അസുരവിത്ത്‌),"Don Bosco is a soft-spoken and religious young man who is studying in a seminary. He takes upon himself the task of bringing to heel the Pathaam Kalam gang, who killed his father years ago. Don meets head on with the Cochin underworld kings and rechristens himself as Don Daveed."
A Nightmare on Elm Street 3: Dream Warriors,Kristen Parker is a young girl who dreams herself into an abandoned house in Elm Street where she is chased by serial killer Freddy Krueger. Kristen is eventually calmed by intern therapist Nancy Thompson who recites part of Freddy's nursery rhyme. Kristen reveals she has had the ability to pull people into her dreams since she was a little girl.
Karuvelam Pookkal,"Karuvelam Pookkal is a graphic picture of the abject misery of the rural poor. The story of Nallamuthu (Nasser), his wife Vadivu (Radhika) and their three children. Nasser as the cynical father, who does not wish to get his daughter married because he does not want to forgo the income. Radhika's is another sterling portrayal."
A Lady to Love,"Tony advertises for a young wife, passing off a photograph of his hired man, Buck, as himself. Lena, a San Francisco waitress, takes up the offer, and though she is disillusioned upon discovering the truth, she goes through with the marriage because of her desire to have a home."
Edge of the City,"Axel Nordmann (John Cassavetes) arrives at the waterfront on the west side of Manhattan, seeking employment as a longshoreman. He goes to work in a gang of stevedores headed by Charlie Malick (Jack Warden) and is befriended by Tommy Tyler (Sidney Poitier), who also supervises a stevedore gang. Tommy serves as a mentor to Axel, urging him to stand up to Malick, and that if he does he will be ""ten feet tall"" Axel strangles Malick unconscious and drags him away to face justice."
Emma,"Inventor Frederick Smith's wife dies during the birth of their fourth baby, Ronnie, leaving the family in the care of their faithful housekeeper Emma. The other Smith children, Bill, Gypsy and Isabelle, have all grown into spoiled adults, but Emma lovingly indulges them all, making excuses for their bad behavior to their father and everyone else. Ronnie is happy for the Smith family, but the other children are embarrassed by the blot on their social record. Ronnie flies East to help Emma but is killed while flying through a dangerous storm."
Barricade,"Barricade tells the story of Terence Shade, a psychologist who doesn't have enough time in the day to spend with his kids. His wife wants them all to go to her old family cabin to give the kids a white Christmas. Once there, strange noises and shadows begin to terrorize the family."
Nixon,"The movie begins in 1972 with the White House Plumbers breaking into The Watergate and subsequently getting arrested. Eighteen months later in December 1973, Richard Nixon's Chief of Staff, Alexander Haig, brings Nixon audio tapes for Nixon to listen. The film covers most aspects of Nixon's life and political career and implies that Nixon and his wife abused alcohol and prescription medications."
"To Sir, with Love","Mark Thackeray (Sidney Poitier) is an unemployed man. He is awarded a teaching position at North Quay Secondary School in the tough East End of London. The pupils live up to their reputation, leading him to lose his temper. The headmaster advises him that he feels ""the adult approach"" has failed; future class outings are cancelled."
Aamar Aami,"The story follows with a series of incidents that affects the lives of Subroto, Sumita, Anirban, Soumya and Chandrima with arising inner conflicts and dilemmas and finally discovering of true desires and inner selves. The film stars Arunima Ghosh, Jhilik Bhattacharjee and Indrasish Roy."
Rule No. 1,"Police sergeant Lee Kwok-keung shot and killed serial killer Chan Fuk-loi, a serial killer, after Chan crippled his four limbs. When Lee woke up in hospital 49 days later, the police refused to recognise his testimony because it contained information about the supernatural. His superior transferred him to the Miscellaneous Affairs Department so that he would be on light duty."
The Diamond,"American Treasury Agent Joe Dennison pursues their trail to London. With the assistance of a Scotland Yard detective, he attempts to break a racket involving the production of synthetic diamonds. The film follows the heist of a heist to acquire freshly minted dollars in the U.S."
Mercury Pookkal,Both the youngsters try to resist marriage but are compelled to agree in the end. Meera Jasmine is from a rural landlord's family and is doing her B.Com in Trichy. Her father Mahadevan fear that she might bring disrepute to the family name.
Gallowwalkers,"Aman (Wesley Snipes) goes after a group of outlaws kill his lover and kills them. When he is killed himself, his mother, a nun, breaks her covenant with God to save his life. His curse brings his victims back to life, and as undead, they pursue him endlessly for revenge. Aman enlists Fabulos (Riley Smith) to fight by his side against his undead victims."
The Hit,"Willie Parker (Terence Stamp) gives evidence against his criminal compatriots in return for a very generous offer from the police. Ten years later, Parker lives in comfortable retirement in Spain until four Spanish youths kidnap him and deliver him to two hit men hired by the kingpin that Parker helped put away. Parker intentionally reveals his identity to Harry, forcing the hit men to kidnap Maggie and kill Harry."
My Brother the Devil,"Mo (Fady Elsayed) and Rashid ""Rash"" (James Floyd) are teenage brothers of Egyptian descent living with their parents in Hackney. Elder brother Rash is fiercely protective of Mo, giving him a TV when he does well and encouraging him to stay in school. However Mo begins to want to emulate Rash who works as a low level drug dealer. Mo is robbed by rival gang members while trying to do a drop-off for his brother."
Salaakhen,"Sachidanand Agnihotri is an honest school-teacher, who has always faced problems due to his honesty. He has come forward to testify against the sexual assault and murder of a young woman from Worli. He points an accusing finger at Nagesh, the son of prominent and influential Jaspal Rana. On the day of the testimony, his lawyer, Ashok Pradhan, confuses him to such an extent that he kills himself."
Good-Time Girl,"Gwen Rawlings was a teenage girl who continually fell into the wrong crowd. Gwen's first troubles began with her employer who caught her ""borrowing"" a brooch from his pawnshop. The next day Gwen packed her things and moved into a boarding house. She met Jimmy, a sharp-dressed man who immediately took a liking to her. Jimmy found her a job at the Blue Angel Nightclub where she was employed as a hat-check girl. While working, she met Red, a bandmember for the club who felt the need to look after her well-being. Jimmy attempted to pursue G"
Kaazhcha,"Madhavan (Mammootty) comes across a six-year-old boy displaced from his native Gujarat and separated from his family after the devastating earthquake. He takes the boy home and cares for him, just like a son. Later finds out that legally he cannot adopt the boy."
That Kind of Woman,"The film is set in New York City in June 1944, during World War II. Kay is a sophisticated Italian woman, the mistress of a Manhattan millionaire industrialist. She and her friend Jane meet a considerably younger American paratrooper named Red and his sergeant George Kelly. Eventually the woman finds herself torn between her upscale life in a Sutton Place apartment and the prospect of true love with the GI."
Peter's Friends,"Peter's friends are Andrew (Branagh) and married jingle writers Roger (Laurie) and Mary (Staunton) Peter's father has recently died, and Peter plans to sell the house after this last party. Carol (Rudner) leaves Andrew and Carol, and after a year of sobriety Andrew returns to the bottle."
Topaze,"Prof. Auguste A. Topaze is an honest, naive chemist and schoolteacher at the Stegg Academy in Paris. He loses his job when he refuses to accede to a demand by the Baroness de La Tour-La Tour to alter the grades of her bratty son, Charlemagne. After meeting and listening to the sincere remarks of Topaze, the baron, head of the La Tour Chemical Works, decides to employ him as a scientific front for his phony curative water."
The Reckoning,"In 1380 England, the priest Nicholas (Bettany) flees his village when found in flagrante delicto with a married woman. During flight he witnesses a group that has euthanized a member to give relief from his recurring internal pain. He becomes known to the group and is captured by a travelling acting troupe who think he is a robber. Reluctantly, they allow him to join their troupe to replace the member killed. The troupe perform a biblical passion play, but, as told by the group's leader Martin (Willem Dafoe), so few attend they are unable"
Jaal,"Shankar Verma lives a poor lifestyle with his mom, Shanti, in India after his father, Satyapal leaves the family for a courtesan by the name of Meenabai. Shankar is hired by a wealthy woman named Amita who wants him to spy on Bhanu Pratap, his sons, Balram and Jackie, and his partner, Kedar."
Chidambara Rahasiyam,"Chidambaram (S. Ve. Shekher), a good-hearted simpleton from a rich family in Karaikudi is in love with his cousin Uma (Ilavarasi) He is wrongly accused of burglary at a house, and murder of a dancer Aasha (Disco Shanthi) The impossibility of him having committed all three crimes gives him the benefit of doubt by the police, who seek the assistance of CID Beemarao."
Independence Day,"Mary Ann Taylor's true love is photography. When Jack Parker returns to Mercury, New Mexico, he tells her he's been to the big city and happiness there is as elusive as anyplace else. Their bliss is interrupted by the discovery that Jack's meek sister is being physically abused by her husband."
Traveling Saleslady,Angela Twitchell (Joan Blondell) wants to work for her father's New York company. Her father is convinced that women have no place in the business. Rufus is losing sales to rival company own by Schmidts (Al Shean) But Angela tries to help her father by bringing an idea for a cocktail flavored toothpaste.
Ananda Tandavam,"The film deals with the life of Ragupathi (Siddharth Venugopal), whose mother died in childbirth. His father is the Deputy-Chief Dam (maintenance) Engineer in the Ambasamudiram dam, Tirunelveli, while Ragu is a mechanical engineer. He is frustrated because he is unemployed. One day, after returning after an Interview in Pune, when he meets Madhumitha (Tamannaah); a native character, she plays childish pranks and brings energy into his life. When he returns a month later, trouble had come in the form of Rad"
Nissash Amar Tumi,"Hridoy (Shakib Khan) is a rich, city boy, born to billionaire parents and brought up in London. On the other hand, Aasha (Apu Biswas)is a traditional, simple desi girl from Bangladesh who is brought up by her only brother, Mohammod Ali (Misha Sawdagor) He is heartbroken when their father marries another woman and throws them out of the house, humiliating them on the way. One day, Purnima (Aasha's best friend) comes to their house to invite Aasha to their home as she is getting married."
"Lost Medallion: The Adventures of Billy Stone, TheThe Lost Medallion: The Adventures of Billy Stone","The movie begins as Daniel Anderson (Alex Kendrick) arrives at a foster home, bringing donations. He is asked to tell a story to the children and the movie transitions into the Lost Medallion universe. The movie flashes back to the present where Billy (Billy Unger) sneaks into his father's archaeology site and tries to help work. He and his best friend Allie (Sammi Hanratty) discover the medallion buried in a different spot than where his dad was looking. The pair are captured and taken to a nearby village, where the village king notices the medallist and claims it is his"
My Cousin Vinny,"Billy Gambini and Stan Rothenstein are college students from New York who shoplift a can of tuna. The store clerk is robbed and killed, and Billy and Stan are arrested for the murder. Billy's cousin Vinny is a personal injury lawyer from Brooklyn, newly admitted to the bar, and with no trial experience. Despite his missteps, Vinny shows that he is able to make up for his inexperience with an aggressive questioning style."
Meerayude Dukhavum Muthuvinte Swapnavum,"Muthu and his younger sister Meera live with their grandmother and uncle Suseelan. He falls in love with Aswathy and meets a mysterious man named Siddan. Meera, who is crippled, is also a child who lives with her aunt and uncle."
Grave Tales,"A young, genealogist (Heather Darcy) whiles away her afternoon in an eerie graveyard to identify graves. The local butcher (Frank Scantori) has a lethal confrontation with a vampire and decides to use his shop as a perfect way to dispose of the remains. After killing a junk shop owner (Edward de Souza) and stealing his antique mirror, a greedy man (Damien Thomas) discovers it reveals a portal to another world. A newly recruited member of an all-girl rock group is invited to do a video for their up-and-coming single."
December-1 ,Basupura is a tiny village where Madevappa works in a flour mill and his wife makes rotis and sells in nearby towns. The whole village is getting geared up for the Chief Minister (CM)'s visit on 1 December. CM's officially scheduled overnight stay in Madevpa's house gives him a higher status and a brighter future.
Crack in the Mirror,"Eponine is accused of seeing a man named Larnier behind his back. The body of Hagolin is dismembered and dumped. The plot is set up by wealthy attorney Lamerciere's longtime mistress, Florence, and his young law partner, Claude. Claude, who is secretly Florence's lover, feels he deserves credit for much of his success."
Dhanam,"The film opens with a cop searching for a prostitute named Dhanam in the streets of Hyderabad. The story goes five years back from the present day. Ananth (Prem), a young student from a Hindu Brahmin family based in Kumbakudam comes to Hyderabad to study medicine. He falls in love with her and begins to follow her for several days. She suspects that Ananth came to her to do business and takes him to her place. They both have sex for money and this begins to happen frequently. One day Ananth opens up his feelings to her, but she refuses his propose, let"
Sabse Bada Khiladi,"Lallu (Akshay Kumar) is an orphan who was separated from his parents and brother in his childhood and has been brought up by foster parents. He travels to Bombay to look for a job and starts working as a loyal servant for a rich businessman. When Jamna Das suddenly dies of a heart attack, his will and testament reveals that Sunita must get married to him or she will not be entitled to any of his wealth and estate. She marries him but decides to have him killed with the help of Amit so that she can inherit all of her father's wealth."
Scream and Scream Again,"The movie's structure is fragmented, as it alternates between three distinguishable plot threads. The centerpiece of the movie is a nearly fifteen minutes long police - murder suspect car chase/foot-chase sequence. Vincent Price plays Dr Browning, whose clinic specializes in limb and organ transplantation. Christopher Lee plays Fremont, the head of Britain's (unnamed) intelligence services."
Springfield Rifle,Major Lex Kearney is drummed out of the Union Army with a dishonorable discharge. Wife Erin even informs him that their ashamed son has run away. What no one knows is that Kearney has accepted a fake discharge so he can carry out a top-secret assignment to go undercover and find the rustlers who have been providing horses to Confederate troops.
The Arnelo Affair,"A lawyer's wife, Anne Parkson, is bored and neglected. She begins meeting with one of her husbands clients, a nightclub owner Tony Arnelo. Tony is in love with Anne and attempts to force her into leaving her husband. He commits ""suicide by cop"" attempting to escape the police."
The World Owes Me a Living,Air Commodore Paul Collyer (Farrar) appears to be suffering from amnesia. He is seen as part of a flying circus display at which Moira is a spectator. A serious accident to one of the planes brings them together. He meets old flame Eve Heatherley (Sonia Dresdel) who is now engaged to Paul's friend Jack Graves.
